sub,ch,MNI_X,MNI_Y,MNI_Z
rcs02l,8-10,-32.72343263,-22.759860075,70.97578805
rcs02l,9-11,-32.26551617,-13.038730061,70.17577501
rcs02r,9-11,26.04009487,-11.1378082755,72.449713505
rcs02r,8-10,23.533525275,-20.047585425,76.68737879
rcs03l,10-11,-22.087963265,-12.714047688499999,75.371599555
rcs03l,8-9,-19.678148604999997,-33.173569385,76.62893437
rcs05l,9-11,-22.99367461,-10.962168913,71.777550055
rcs05l,8-10,-22.36595466,-20.22381987,73.745953835
rcs05r,9-11,31.189093315,-3.0520092605,67.66066752500001
rcs05r,8-10,32.02601573,-12.5004186485,69.77696519
rcs06l,9-11,-24.70710763,-21.1988911715,74.400113745
rcs06l,8-10,-25.36064592,-31.782890945,74.86944714
rcs06r,9-11,37.241802469999996,-16.7978347675,69.70980353
rcs06r,8-10,35.514306135,-28.618424835,71.787552155
rcs07l,9-11,-32.504363215,-13.806689607500001,70.55886412000001
rcs07l,8-10,-34.44032157,-23.04216805,71.48458397
rcs07r,9-11,26.829448165000002,-15.026175040999998,73.18277109499999
rcs07r,8-10,25.71014281,-23.14259667,74.142689255
rcs08l,9-11,-27.560038589999998,-21.408809814999998,70.709112325
rcs08l,8-10,-26.314024670000002,-32.49177045,71.147779235
rcs08r,9-11,36.029798815,-10.615611618,65.44866412
rcs08r,8-10,37.473659455,-19.263933394,66.54731960999999
rcs09l,8-9,-21.767901345,-37.141886760000006,74.81117616
rcs09l,10-11,-30.969253525,-17.12699724,72.687019295
rcs09r,8-9,26.48176698,-32.36214692,74.000214515
rcs09r,10-11,27.967389355,-11.592397791,73.291613385
rcs10l,8-9,-27.30679696,-43.172488295,72.12521448999999
rcs10l,10-11,-21.39231892,-22.88090733,75.866538605
rcs10r,8-9,27.901201880000002,-37.754355535,73.01922821
rcs10r,10-11,29.631456895,-15.744465660500001,71.99821012
rcs11l,8-9,-26.87957515,-36.42091939,76.46302561499999
rcs11l,9-10,-27.366421375,-25.713576785,76.19502846500001
rcs11r,8-9,29.33894449,-37.952102685,74.200816515
rcs11r,9-10,30.50678623,-27.57229459,74.994954025
rcs12l,10-11,-35.64883074,-20.1387049,71.04858407
rcs12l,8-9,-31.898932395,-39.56623804,71.12382124499999
rcs12r,10-11,32.627749785,-13.533023605,72.33838212500001
rcs12r,8-9,29.986522995,-33.82251997,73.59576627999999
rcs14l,8-9,-17.78853552,-33.147118465000005,78.84575928
rcs14l,10-11,-21.97266702,-12.902491833,76.08877355999999
rcs15l,10-11,-27.507806025,-13.054884611999999,72.46772446
rcs15l,8-9,-26.226571635,-32.23895428,74.31045366500001
rcs15r,10-11,30.327289995,-17.925622805,71.86761340000001
rcs15r,8-9,26.313039615,-38.497036875,72.465650875
rcs17l,8-9,-26.249027585,-36.66413147,76.71085291
rcs17l,10-11,-28.029223854999998,-15.521975255,76.02871691
rcs17r,8-9,31.177786060000003,-33.71087989,74.80139565
rcs17r,10-11,37.893355745,-13.4607901385,71.011446515
rcs18l,10-11,-32.158185785,-12.488734024,71.171159735
rcs18l,8-9,-32.13779578,-33.98457554,72.048830945
rcs18r,10-11,30.779931859999998,-13.74942618,71.5806297
rcs18r,8-9,27.102312085,-34.20941421,72.80771891500001
rcs19l,10-11,-25.052105140000002,-13.6615244975,74.91489092
rcs19l,8-9,-21.69210544,-34.328922955,77.716325325
rcs19r,10-11,27.523045654999997,-15.4406685535,75.27799396
rcs19r,8-9,22.262970685,-35.29707946,77.20049499000001
rcs20l,8-9,-21.25057393,-38.26676198,78.59916627
rcs20l,10-11,-24.63502573,-17.888688860000002,77.329895875
rcs20r,8-9,28.597338515,-30.92248518,76.522990115
rcs20r,10-11,32.371972035,-10.767440742,73.357238585
